+1.91035E+10  +0.00000E+00  +8.22305E+09  +1.00000E-24  +4.00000E-05  +1.61555E+03  +1.61555E+03  +2.83847E+03  +0.00000E+00  +9.78272E+04  +0.00000E+00  +1.00000E+00  +7.02762E-07
+1.91622E+10  +0.00000E+00  +8.08540E+09  +1.00000E-24  +4.00000E-05  +1.63684E+03  +1.63684E+03  +2.85711E+03  +0.00000E+00  +9.78272E+04  +0.00000E+00  +1.00000E+00  +6.20367E-07
+1.92199E+10  +0.00000E+00  +7.94733E+09  +1.00000E-24  +4.00000E-05  +1.64591E+03  +1.64591E+03  +2.86502E+03  +0.00000E+00  +9.78272E+04  +0.00000E+00  +1.00000E+00  +5.43987E-07
+1.92765E+10  +0.00000E+00  +7.80886E+09  +1.00000E-24  +4.00000E-05  +1.65904E+03  +1.65904E+03  +2.87643E+03  +0.00000E+00  +9.78272E+04  +0.00000E+00  +1.00000E+00  +4.92397E-07
+1.93322E+10  +0.00000E+00  +7.66998E+09  +1.00000E-24  +4.00000E-05  +1.67551E+03  +1.67551E+03  +2.89066E+03  +0.00000E+00  +9.78272E+04  +0.00000E+00  +1.00000E+00  +4.60496E-07
+1.93869E+10  +0.00000E+00  +7.53070E+09  +1.00000E-24  +4.00000E-05  +1.69368E+03  +1.69368E+03  +2.90630E+03  +0.00000E+00  +9.78272E+04  +0.00000E+00  +1.00000E+00  +4.53281E-07
+1.94406E+10  +0.00000E+00  +7.39103E+09  +1.00000E-24  +4.00000E-05  +1.69358E+03  +1.69358E+03  +2.90621E+03  +0.00000E+00  +9.78272E+04  +0.00000E+00  +1.00000E+00  +4.80314E-07
+1.94932E+10  +0.00000E+00  +7.25098E+09  +1.00000E-24  +4.00000E-05  +1.71031E+03  +1.71031E+03  +2.92053E+03  +0.00000E+00  +9.78272E+04  +0.00000E+00  +1.00000E+00  +8.35878E-07
+1.95449E+10  +0.00000E+00  +7.11055E+09  +1.00000E-24  +4.00000E-05  +1.72435E+03  +1.72435E+03  +2.93250E+03  +0.00000E+00  +9.78272E+04  +0.00000E+00  +2.64101E-01  +3.67949E-01
+1.95956E+10  +0.00000E+00  +6.96976E+09  +1.00000E-24  +4.00000E-05  +1.71559E+03  +1.71559E+03  +2.92503E+03  +0.00000E+00  +9.78272E+04  +0.00000E+00  +1.45757E-01  +4.27121E-01
+1.96452E+10  +0.00000E+00  +6.82861E+09  +1.00000E-24  +4.00000E-05  +1.70743E+03  +1.70743E+03  +2.91807E+03  +0.00000E+00  +9.78272E+04  +0.00000E+00  +8.28513E-02  +4.58574E-01
+1.96938E+10  +0.00000E+00  +6.68710E+09  +1.00000E-24  +4.00000E-05  +1.73177E+03  +1.73177E+03  +2.93880E+03  +0.00000E+00  +9.78272E+04  +0.00000E+00  +4.62751E-02  +4.76862E-01
+1.97414E+10  +0.00000E+00  +6.54524E+09  +1.00000E-24  +4.00000E-05  +1.75709E+03  +1.75709E+03  +2.96021E+03  +0.00000E+00  +9.78272E+04  +0.00000E+00  +2.75176E-02  +4.86241E-01
+1.97880E+10  +0.00000E+00  +6.40305E+09  +1.00000E-24  +4.00000E-05  +1.75656E+03  +1.75656E+03  +2.95976E+03  +0.00000E+00  +9.78272E+04  +0.00000E+00  +1.63557E-02  +4.91822E-01
+1.98335E+10  +0.00000E+00  +6.26053E+09  +1.00000E-24  +4.00000E-05  +1.75221E+03  +1.75221E+03  +2.95609E+03  +0.00000E+00  +9.78272E+04  +0.00000E+00  +9.52581E-03  +4.95237E-01
+1.98781E+10  +0.00000E+00  +6.11768E+09  +1.00000E-24  +4.00000E-05  +1.75995E+03  +1.75995E+03  +2.96261E+03  +0.00000E+00  +9.78272E+04  +0.00000E+00  +5.96199E-03  +4.97019E-01
+1.99216E+10  +0.00000E+00  +5.97451E+09  +1.00000E-24  +4.00000E-05  +1.75790E+03  +1.75790E+03  +2.96088E+03  +0.00000E+00  +9.78272E+04  +0.00000E+00  +3.25603E-03  +4.98372E-01
